Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
World Championship 19th,Moscow,1951.??.??,9.0,"Botvinnik, Mikhail","Bronstein, David I",1/2-1/2,,,A91,d2d4 e7e6 c2c4 f7f5 g2g3 g8f6 f1g2 f8e7 b1c3 e8g8 d4d5 e7b4 c1d2 e6e5 e2e3 d7d6 g1e2 a7a6 d1c2 d8e8 f2f3 b7b5 c2b3 b4c5 c4b5 c8d7 c3a4 c5a7 b5b6 d7a4 b6b7 a4b3 b7a8q a7b6 a2b3 e8b5 e2c3 b5b3 a1a6 b8a6 a8a6 f6d5 a6a4 b3a4 c3a4 b6e3 g2f1 f8a8 b2b3 e3d2 e1d2 g8f8 f1d3 g7g6 h1c1 a8b8 a4c3 d5b4 d3e2 b8a8 c3a4 c7c6 c1c4 a8b8 e2d1 f8e7 a4b2 d6d5 c4h4 h7h5 g3g4 h5g4 f3g4 f5f4 g4g5 b8f8 h4h7 e7d6 h7g7 e5e4 g7g6 d6e5
World Championship 19th,Moscow,1951.??.??,10.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,A85,d2d4 e7e6 c2c4 f7f5 b1c3 f8b4 d1c2 g8f6 e2e3 e8g8 f1d3 d7d6 g1e2 c7c5 a2a3 b4c3 e2c3 b8c6 d4c5 d6c5 b2b3 c8d7 c1b2 c6e5 d3e2 d7c6 f2f3 f6h5 c3d1 e5g6 c2c3 d8g5 g2g3 e6e5 d1f2 a8d8 h1g1 g5e7 a1d1 h5f6 d1d2 a7a6 e1d1 b7b5 d1c1 b5b4 c3c2 d8d2 c2d2 f8d8 d2c2 f5f4 g3f4 e5f4 e3e4 a6a5 f2d3 f6d7 a3b4 a5b4 b2a1 d7f8 g1d1 f8e6 d3e5 g6e5 a1e5 e7g5 d1d8 g5d8 c2d2 d8d2 c1d2 g7g5 d2d3 g8f7 e2f1 h7h5 f1e2 f7e7 e2f1 c6d7 f1h3 e6d8 h3d7 e7d7 h2h3 d7e7 e5g7 e7f7 g7e5 f7e7 e5g7 d8b7 g7h6 e7f6 h6f8 f6f7 f8h6 f7g6 h6f8 g6f6 d3e2 f6f7 f8h6 f7g6 h6f8 g6f7
World Championship 19th,Moscow,1951.??.??,11.0,"Botvinnik, Mikhail","Bronstein, David I",0-1,,,E17,d2d4 e7e6 g1f3 g8f6 c2c4 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b2b3 d7d5 c4d5 e6d5 c1b2 b8d7 b1c3 f8e8 f3e5 e7f8 a1c1 d7e5 d4e5 e8e5 c3b5 e5e7 b2f6 g7f6 e2e4 d5e4 d1g4 f8g7 f1d1 d8f8 b5d4 b7c8 g4h4 f6f5 d4c6 e7e8 g2h3 g7h6 c1c2 e4e3 f2e3 h6e3 g1h1 c8e6 h3g2 a7a5 g2f3 g8h8 c6d4 a8d8 c2c7 e6d5 d1e1 f8d6 c7c2 e8e4 f3e4 d5e4 h4e4 f5e4 d4f5 d6b4 e1e3 d8d1 h1g2 d1d2 c2d2 b4d2 g2h3 d2f2 h3g4 f7f6
World Championship 19th,Moscow,1951.??.??,12.0,"Bronstein, David I","Botvinnik, Mikhail",0-1,,,A85,d2d4 e7e6 c2c4 f7f5 e2e3 g8f6 b1c3 d7d5 g1h3 c7c6 c1d2 f8d6 d1c2 e8g8 e1c1 d8e7 f2f3 d5c4 e3e4 f5e4 c3e4 b7b5 e4d6 e7d6 f3f4 b8a6 f1e2 c6c5 e2f3 a8b8 d2c3 a6b4 d4c5 b4a2 c1b1 a2c3 c2c3 d6c5 h1e1 h7h6 e1e5 c5c7 g2g4 c8b7 f3b7 b8b7 g4g5 f6d5 d1d5 e6d5 c3d4 c4c3 b2b3 c7d7 h3f2 c3c2 b1c1 h6g5 e5g5 d7e6 g5e5 e6d6 c1c2 b7c7 c2d2 d6c5 d4c5 c7c5 f2d3 c5c6 e5d5 a7a6 h2h4 c6h6 h4h5 h6f6 b3b4 f6f5 d5d6 f8f6
World Championship 19th,Moscow,1951.??.??,13.0,"Botvinnik, Mikhail","Bronstein, David I",1/2-1/2,,,E44,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8b7 a2a3 b4c3 e2c3 e8g8 f1d3 c7c5 d4d5 b6b5 e1g1 b5c4 d3c4 e6d5 c3d5 b8c6 b2b3 f6d5 c4d5 a8b8 c1b2 c6e7 d1g4 e7g6 d5b7 b8b7 b3b4 a7a5 b2c3 a5b4 a3b4 c5b4 c3b4 f8e8 b4c3 d8h4 g4f3 b7c7 c3d4 g6f8 a1a5 f8e6 d4e5 c7c6 e5g3 h4c4 a5d5 e6c5 d5d4 c4e6 f3d5 h7h6 h2h3 e8a8 f1d1 e6d5 d4d5 c5e4 d5d7 e4g3 f2g3 a8a2 d1d2 a2d2 d7d2 g8f8 g3g4 f8e7 g1f2 c6f6 f2e2 f6a6 d2d5 a6a2 e2f3 g7g5 d5f5 e7f8 f5f6 f8g7 f6d6 a2b2 g2g3 b2a2 h3h4 a2h2 d6d1 g7f6 e3e4 f6g6 h4h5 g6f6 d1d6 f6g7 e4e5 h2h1 e5e6 f7e6 d6e6 h1f1 f3e4 f1e1 e4d5 e1d1
World Championship 19th,Moscow,1951.??.??,14.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,A08,g1f3 e7e6 g2g3 d7d5 f1g2 c7c5 e1g1 b8c6 d2d3 g7g6 e2e4 f8g7 d1e2 g8e7 e4e5 d8c7 f1e1 a7a6 c2c3 c8d7 b1a3 h7h6 a1b1 e7f5 a3c2 a8c8 h2h4 c7a5 a2a3 a5d8 c1f4 e8g8 c2e3 f5e3 e2e3 g8h7 f3h2 c6e7 h2g4 e7g8 e3d2 d7c6 d3d4 c5d4 d2d4 c6b5 b2b3 a6a5 a3a4 b5a6 d4d2 d8e7 b3b4 a6c4 b4a5 c4a6 g2f1 e7c5 f1b5 c5c3 d2c3 c8c3 b5a6 b7a6 b1b6 c3c4 g4h2 g8e7 b6a6 e7c6 h2f3 c6b4 a6b6 b4d3 e1a1 d3f4 g3f4 c4f4 g1g2 g6g5 h4g5 h6g5 f3g5 h7g6 g5f3 f8g8 a1a3 g7f8 a3d3 f4a4 g2f1 a4a1 f1e2 a1a2 d3d2 a2a5 b6b8 g8h8 f3d4 f8g7 b8h8 g7h8 f2f4 a5a3 d2d1 a3a2 e2f3 a2a3 f3g4 h8g7 g4h4 g7f8 f4f5 e6f5 d1g1 g6h7 d4f5 a3a6 g1g5 f8h6 g5g3 a6e6 g3f3 e6e5 f5h6 h7h6 f3f7 h6g6 f7f4 e5f5 h4g4
World Championship 19th,Moscow,1951.??.??,15.0,"Botvinnik, Mikhail","Bronstein, David I",1/2-1/2,,,C08,d2d4 e7e6 e2e4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 g8f6 f1b5 c8d7 b5d7 b8d7 e1g1 f8e7 d4c5 d7c5 f3d4 d8d7 d2f3 e8g8 f3e5 d7c8 c1g5 f8e8 e5d3 c5d3 d1d3 c8g4 g5e3 e7c5 h2h3 g4g6 d3g6 h7g6 a1d1 e8e4 c2c3 b7b6 d4c2 e4e8 d1d3 g8f8 f1d1 f8e7 g1f1 e7d7 e3g5 d7c6 b2b4 c5f8 c2e3 e8e5 f2f4 e5e4 f4f5 e4e5 g5f4 e5e4 f4g5 e4e5 g5f4 e5e4 f4g5
World Championship 19th,Moscow,1951.??.??,16.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,A91,d2d4 e7e6 c2c4 f7f5 g2g3 g8f6 f1g2 f8e7 b1c3 e8g8 e2e3 d7d5 g1e2 c7c6 b2b3 e7d6 e1g1 d8e7 d1c2 f6e4 c3d1 b8a6 d1b2 c8d7 c4c5 d6c7 b2d3 d7e8 b3b4 a6b8 c1b2 a7a5 a2a3 b8d7 d3e5 e4f6 e2c1 g7g5 f2f3 g5g4 c1d3 g4f3 g2f3 f6e4 a1e1 d7f6 d3f4 g8h8 e1e2 e4g5 f3g2 f8g8 b2c3 g5e4 c3e1 a5b4 a3b4 f6h5 f4d3 h5f6 c2b1 e8h5 e2b2 h5e8 b2a2 a8a2 b1a2 c7b8 a2b2 h7h6 d3f4 h8h7 g1h1 f6g4 e5g4 g8g4 g2h3 g4g5 b2a1 e8f7 h3g2 g5g8 g2f3 e4f6 a1b2 f6g4 b2e2 g4f6 f1g1 f6e4 g1f1 e7e8 e2d3 b8f4 e3f4 f7h5 d3a3 h5f3 f1f3 g8g7 h1g2 e8d8 g2f1 d8f6 f3d3 h6h5 h2h4 g7g8 d3d1 f6g7 a3f3 h7h6 f1g2 g8a8 d1d3 a8a2 g2f1 a2a1 f3g2 g7g4 g2h2 g4g8 b4b5 g8a8 h2b2 a8a5 d3e3 c6b5 e3e2 a5a4 f1g2 a1d1 e1f2 a4c4 c5c6 c4c6 b2b4 c6e8 e2c2 d1d3 f2e1 e8g8 b4e7 d3g3 e1g3 g8g3 g2h1 g3e1 h1h2
World Championship 19th,Moscow,1951.??.??,17.0,"Botvinnik, Mikhail","Bronstein, David I",0-1,,,E45,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8a6 a2a3 b4e7 e2g3 d7d5 c4d5 a6f1 g3f1 e6d5 f1g3 d8d7 d1f3 b8c6 e1g1 g7g6 c1d2 e8g8 c3e2 h7h5 f1c1 h5h4 g3f1 f6e4 e2f4 a7a5 c1c2 e7d8 d2e1 c6e7 f3e2 e4d6 f2f3 g6g5 f4d3 d7e6 a3a4 e7g6 h2h3 f7f5 e1c3 d8f6 a1e1 a8e8 e2d1 f8f7 b2b3 f7e7 c3b2 f5f4 d3e5 f6e5 d4e5 d6f7 e3f4 g6f4 f1h2 c7c5 h2g4 d5d4 g4f6 e6f6
World Championship 19th,Moscow,1951.??.??,18.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,D15,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 e7e6 e2e3 a7a6 f1d3 b7b5 b2b3 b8d7 e1g1 c8b7 c4c5 f8e7 a2a3 a6a5 c1b2 e8g8 d1c2 g7g6 b3b4 a5b4 a3b4 d8c7 a1e1 f8e8 c3e2 e7f8 h2h3 f8g7 f3e5 d7f8 f2f3 f6d7 f3f4 f7f6 e5f3 e8e7 e2c3 f6f5 e1a1 e7e8 f3e5 a8a1 f1a1 e8a8 c2b1 c7c8 d3b5 d7e5 f4e5 g7h6 b2c1 c6b5 c3b5 f8d7 b5d6 a8a1 b1a1 c8a8 a1c3 h6f8 b4b5 f8d6 e5d6 a8a4 c3b2 g8f7 g1h2 h7h6 e3e4 f5f4 e4e5 g6g5 b2e2 f7g7 e2d3 d7b8 h3h4 a4c4 d3h3 c4b5 h4g5 h6g5 h3e6 b5d3 e6f6 g7h7 f6f7 h7h8 f7f6 h8h7 c1f4 g5f4 f6f7 h7h8 f7e8 h8g7 e8e7 g7h8 e7e8 h8g7 e8e7 g7h8 e7f8 h8h7 f8f7 h7h8 f7b7 d3g3 h2h1
World Championship 19th,Moscow,1951.??.??,19.0,"Botvinnik, Mikhail","Bronstein, David I",1-0,,,D74,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d5 c4d5 f6d5 g1f3 e8g8 e1g1 c7c5 e2e4 d5f6 e4e5 f6d5 d4c5 d5b4 b1c3 b8c6 a2a3 b4d3 c1e3 c8g4 h2h3 g4f3 d1f3 d3e5 f3e4 d8d3 e4a4 d3c4 a1d1 a8d8 g2d5 c4a4 c3a4 e7e6 d5a2 e5f3 g1g2 f3d4 g3g4 h7h6 d1d2 g8h7 f2f4 f7f5 a4c3 e6e5 f4e5 g7e5 c3d5 f5g4 h3g4 f8f1 g2f1 d8f8 d2f2 f8f2 e3f2 a7a6 f1g2 h7g7 a2c4 d4e6 b2b4 e5b2 a3a4 c6e5 c4e2 b2d4 f2g3 a6a5 b4a5 e6c5 d5c7 e5c6 a5a6 b7a6 c7a6 c5e4 g3c7 e4c3 e2f3 c6e5 a4a5 h6h5 g4g5 e5c4 a6b4 c3b5 c7d8 g7f8 b4c6 d4c5 f3e2 c4e3 g2f3 b5d4 c6d4 c5d4 e2d3 e3g4 d3g6 g4e5 f3e4 e5c6 d8b6 d4b6 a5b6 h5h4 g6f5 f8e7 e4f4 e7d6 f5e4
World Championship 19th,Moscow,1951.??.??,20.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,A14,c2c4 e7e6 g1f3 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 b2b3 e8g8 c1b2 d7d5 c4d5 e6d5 d1c2 f8e8 e2e3 b8d7 d2d3 e7f8 b1c3 a7a6 a1d1 b6b5 a2a4 b5b4 c3e2 c7c5 f3d2 d7e5 e2f4 a8c8 c2b1 a6a5 f1e1 c8c7 d3d4 e5g6 f4g6 h7g6 d4c5 f8c5 b1a1 d8e7 d1c1 f6g4 b2d4 e8c8 d2f3 g4f6 g2h3 c5d4 f3d4 c7c1 e1c1 c8c1 a1c1 f6e4 h3c8 e4c3 c8b7 e7b7 f2f3 g8f8 c1f1 b7c8 g1g2 g6g5 g3g4 g7g6 f1e1 c8e8 e1d2 e8e5 d2d3 e5f6 d4c2 f8e7 d3d4 f6d4 c2d4 c3d1 d4c2 d1b2 c2d4 b2d1 d4c2 d1b2 c2d4
World Championship 19th,Moscow,1951.??.??,21.0,"Botvinnik, Mikhail","Bronstein, David I",0-1,,,E69,d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 g1f3 b8d7 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 e2e4 c7c6 h2h3 f6h5 c1e3 d8e7 f3h2 g8h8 f1e1 a7a6 a2a3 a8b8 g2f1 h5f6 d1d2 b7b5 c4b5 a6b5 a1d1 d7b6 e3h6 g7h6 d2h6 c8e6 h2f3 e6b3 d1d2 f6d7 h6e3 b3c4 f1g2 f7f6 d2c2 c4b3 c2e2 b6c4 e3d3 c4a5 e2d2 d7b6 d3b1 b6c4 d2e2 b5b4 a3b4 b8b4 h3h4 c4b6 c3a2 b3a2 b1a2 b6c4 h4h5 f8b8 h5g6 h7g6 a2b1 h8g7 d4e5 f6e5 b1c1 c4b2 c1c3 b2a4 c3c1 b4c4 c1g5 e7g5 f3g5 a5b3 f2f4 b3d4 e2a2 b8b2 a2b2 a4b2 g1h2 b2d3 e1e3 c4c3 g2f1 c3c2 h2h3 d3f2 h3h4 c2c1 f1g2 c1g1 g2h3 g1h1 f4e5 d6e5 e3a3 g7f6 g5h7 f6e7 h7g5 e7d6 g5f7 d6e7 h4g5 e7f7 a3a7 f7e8 h3d7 e8d8 g5g6 f2e4 g3g4 h1f1 d7f5 d4f5 g4f5 d8e8
World Championship 19th,Moscow,1951.??.??,22.0,"Bronstein, David I","Botvinnik, Mikhail",1-0,,,A91,d2d4 e7e6 c2c4 f7f5 g2g3 g8f6 f1g2 f8e7 b1c3 e8g8 e2e3 d7d5 g1e2 c7c6 b2b3 f6e4 e1g1 b8d7 c1b2 d7f6 d1d3 g7g5 c4d5 e6d5 f2f3 e4c3 b2c3 g5g4 f3g4 f6g4 g2h3 g4h6 e2f4 e7d6 b3b4 a7a6 a2a4 d8e7 a1b1 b7b5 h3g2 h6g4 c3d2 g4f6 b1b2 c8d7 f1a1 f6e4 d2e1 f8e8 d3b3 g8h8 b2a2 e7f8 f4d3 a8b8 a4b5 a6b5 a2a7 e8e7 d3e5 d7e8 g3g4 f5g4 g2e4 d5e4 e1h4 e7e5 d4e5 d6e5 a1f1 f8g8 h4g3 e5g7 b3g8
World Championship 19th,Moscow,1951.??.??,23.0,"Botvinnik, Mikhail","Bronstein, David I",1-0,,,D71,d2d4 g8f6 c2c4 g7g6 g2g3 c7c6 f1g2 d7d5 c4d5 c6d5 b1c3 f8g7 g1h3 c8h3 g2h3 b8c6 h3g2 e7e6 e2e3 e8g8 c1d2 a8c8 e1g1 f6d7 c3e2 d8b6 d2c3 f8d8 e2f4 d7f6 d1b3 f6e4 b3b6 a7b6 c3e1 c6a5 f4d3 g7f8 f2f3 e4d6 e1f2 f8h6 a1c1 a5c4 f1e1 c4a5 g1f1 h6g7 g3g4 a5c6 b2b3 d6b5 f1e2 g7f8 a2a4 b5c7 f2g3 c7a6 g2f1 f7f6 e1d1 c6a5 c1c8 d8c8 d1c1 c8c1 d3c1 f8a3 e2d1 a3c1 d1c1 a5b3 c1c2 b3a5 c2c3 g8f7 e3e4 f6f5 g4f5 g6f5 f1d3 f7g6 g3d6 a5c6 d3b1 g6f6 d6g3 f5e4 f3e4 h7h6 g3f4 h6h5 e4d5 e6d5 h2h4 a6b8 f4g5 f6f7 b1f5 c6a7 g5f4 b8c6 f5d3 a7c8 d3e2 f7g6 e2d3 g6f6 d3e2 f6g6 e2f3 c6e7 f4g5
World Championship 19th,Moscow,1951.??.??,24.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,D44,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 e7e6 c1g5 d5c4 a2a4 f8b4 e2e4 c6c5 f1c4 c5d4 f3d4 h7h6 g5e3 f6e4 e1g1 e4f6 d1f3 e8g8 a1d1 d8e7 f1e1 b8c6 f3g3 g8h8 d4c6 b7c6 e3d4 f8d8 d1d3 c8b7 e1e3 d8d4 d3d4 b4c5 d4d1 c5e3 g3e3
World Championship 20th,Moscow,1954.??.??,1.0,"Smyslov, Vassily","Botvinnik, Mikhail",0-1,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4 c3b5 a5c7 f2f4 g8e7 g1f3 b8c6 f1d3 c7b8 b5d4 a7a6 c1e3 b8a7 e1g1 c6d4 e3d4 a7d4 f3d4 d8b6 g1h1 c8d7 c2c3 a8c8 d1e1 h7h6 a3a4 a6a5 d4b3 b6c7 b3c5 d7c6 e1f2 e8g8 c5b3 c6d7 f2c5 c7c5 b3c5 c8c7 c5d7 c7d7 b4a5 f8a8 a5a6 b7a6 c3c4 d5c4 d3c4 d7d4 c4e2 e7d5 g2g3 d5c3 e2f3 a8b8 a1a3 c3b1 a3a2 b1d2 f1f2 d2c4 h2h4 g7g5 h4g5 h6g5 f4g5 c4e5 f3e2 b8b1 h1g2 a6a5 a2c2 b1b3 f2f4 d4d5 f4e4 g8g7 e2h5 e5g6 e4g4 b3e3 h5g6 g7g6 c2f2 d5f5 f2f5 e6f5 g4c4 e3e4 c4c7 e4a4 c7a7 a4a3 g2h3 f5f4 h3h4 f4g3 a7a6 g6f5 a6f6 f5e4 h4h3 a3f3 f6a6 f3f5
World Championship 20th,Moscow,1954.??.??,2.0,"Botvinnik, Mikhail","Smyslov, Vassily",1-0,,,E45,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8a6 a2a3 b4e7 e2f4 d7d5 c4d5 a6f1 e1f1 e6d5 g2g4 c7c6 g4g5 f6d7 h2h4 e7d6 e3e4 d5e4 c3e4 d6f4 c1f4 e8g8 h4h5 f8e8 e4d6 e8e6 d4d5 e6d6 f4d6 d8g5 d1f3 g5d5 f3d5 c6d5 a1c1 b8a6 b2b4 h7h6 h1h3 g8h7 h3d3 d7f6 b4b5 a6c5 d6c5 b6c5 c1c5 a8b8 a3a4 b8b7 d3c3
World Championship 20th,Moscow,1954.??.??,3.0,"Smyslov, Vassily","Botvinnik, Mikhail",1/2-1/2,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4 c3b5 a5c7 f2f4 g8e7 g1f3 c8d7 b5d4 b8c6 c2c3 c6d4 c3d4 e7f5 f1e2 a8c8 a3a4 f7f6 e1g1 e8g8 g2g4 f5e7 e2d3 d8e8 b4b5 e7g6 f4f5 g6e7 d1e2 e6f5 e5e6 f5g4 f3h4 c7b6 c1b2 e7g6 h4g6 h7g6 a1e1 f6f5 e6d7 e8d7 e2e6 d7e6 e1e6 g8f7 f1e1 f8e8 e6e8 c8e8 e1e8 f7e8 b2c3 e8d7 a4a5 b6d8 c3b4 b7b6 a5a6 d8f6 b4c3 d7e6 g1g2 g6g5 d3e2 g7g6 e2d1 f6e7 c3d2 e7d8 d2e3
World Championship 20th,Moscow,1954.??.??,4.0,"Botvinnik, Mikhail","Smyslov, Vassily",1-0,,,D22,d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 c8g4 f1c4 e7e6 d1b3 g4f3 g2f3 b7b5 c4e2 b8d7 a2a4 b5b4 b1d2 g8f6 d2e4 c7c5 e4f6 d8f6 d4d5 e6e5 a4a5 f8d6 e3e4 e8g8 c1e3 c5c4 b3c4 f8c8 c4b3 f6g6 e1f1 f7f5 h1g1 g6h5 g1g2 d7c5 b3d1 h5h4 f1g1 f5f4 e3d2 a8b8 g1h1 c8f8 e2c4 f8f6 d1g1 d6f8 g2g4 h4h5 g1g2 h5f7 b2b3 g8h8 a1g1 f6d6 d2c1 c5d7 c1b2 b8e8 g2f1 f7h5 f1g2 h5h6 g4g5 g7g6 g2f1 f8g7 b2c1 g7f6 g5g4 f6e7 c1d2 d7f6 g4g2 d6d7 c4a6 d7a7 a6b5 e8g8 a5a6 g6g5 f1d3 e7d6 d3e2 a7g7 e2d1 h6h4 b5e2 g5g4 d2e1 h7h5 f3g4 h5g4 e2g4 g7g4 f2f3 g4g2 e1h4 g2g1 d1g1 g8g1 h1g1 f6e8 a6a7 e8c7 g1f1 h8g7 f1e2 g7f7 h4f2 f7e8 e2d3 e8d7 d3c4
World Championship 20th,Moscow,1954.??.??,5.0,"Smyslov, Vassily","Botvinnik, Mikhail",1/2-1/2,,,D44,c2c4 c7c6 d2d4 d7d5 g1f3 g8f6 b1c3 e7e6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 f3g5 h6g5 h4g5 b8d7 e5f6 c8b7 g2g3 d8b6 f1g2 e8c8 e1g1 d7e5 d1e2 b6d4 g5e3 d4d3 f1d1 d3e2 d1d8 c8d8 c3e2 e5d3 b2b3 d8c7 b3c4 b5c4 e3a7 c6c5 a1b1 b7g2 a7b8 c7c6 g1g2 f8h6 f2f4 e6e5 a2a4 e5f4 g3f4 c4c3 e2c3 h6f4 b8f4 d3f4 g2g3 f4h5 g3g4 h5f6 g4g5 f6d5 c3d5 c6d5 h2h4 f7f6 g5g4 c5c4 a4a5 c4c3 a5a6 h8a8 g4f5 a8a6 h4h5 a6a2 f5f6
World Championship 20th,Moscow,1954.??.??,6.0,"Botvinnik, Mikhail","Smyslov, Vassily",1/2-1/2,,,D86,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 b7b6 e1g1 c8b7 f2f3 c7c5 c1g5 c5d4 c3d4 b8c6 c4d5 d8d7 d1d2 e7e6 d5c6 b7c6 f1e1 c6b5 a1d1 a8c8 g5h6 g7h6 d2h6 b5e2 e1e2 d7a4 d1d2 a4a3 g1f2 f8d8 e2e3 a3c1 e3e1 c1c3 h6e3 c3b4 e1d1 c8c3 e3g5 d8d7 h2h4 b4e7 g5e7 d7e7 d4d5 e6d5 d2d5 c3a3 d1d2 h7h5 d2c2 g8g7 d5d6
World Championship 20th,Moscow,1954.??.??,7.0,"Smyslov, Vassily","Botvinnik, Mikhail",1-0,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 a2a3 b4c3 b2c3 d5e4 d1g4 g8f6 g4g7 h8g8 g7h6 c7c5 g1e2 g8g6 h6e3 b8c6 d4c5 f6g4 e3e4 d8d1 e1d1 g4f2 d1e1 f2e4 e2f4 g6g8 f1d3 e4c5 d3h7 g8h8 h7d3 c5d3 c2d3 c8d7 c1e3 e8c8 e1f2 e6e5 f4e2 d7g4 h2h3 g4h5 d3d4 h5e2 f2e2 e5d4 c3d4 c6d4 e2f2 b7b6 h1d1 d4e6 a1c1 c8b7 d1d8 h8d8 h3h4 d8h8 g2g3 b6b5 f2f3 a7a5 f3e4 h8e8 e4f3 e8h8 c1c3 f7f5 c3d3 b7c6 e3d2 h8a8 d2c3 c6c5 c3f6 b5b4 h4h5 a8a7 d3e3 c5d6 f6e5 d6d5 e5b2 d5d6 e3d3 d6c5 d3d2 a7h7 d2h2 c5d6 a3a4 d6e7 g3g4 f5f4 h2d2
World Championship 20th,Moscow,1954.??.??,8.0,"Botvinnik, Mikhail","Smyslov, Vassily",1/2-1/2,,,D06,d2d4 d7d5 g1f3 c8f5 c2c4 e7e6 d1b3 b8c6 c1d2 d5c4 b3b7 g8e7 b7b5 a8b8 b5a4 b8b2 b1a3 d8d7 a3c4 b2b8 e2e3 c6b4 a4d7 e8d7 d2b4 b8b4 c4e5 d7e8 f1d3 f7f6 d3f5 e7f5 e5d3 b4b6 e1e2 f8a3 f3d2 f5d6 h1b1 d6c8 d2c4 b6b1 a1b1 a3e7 b1b8 e8d8 a2a4 h8e8 a4a5 d8d7 a5a6 e7f8 b8b7 f8e7 c4a5 e7d6 e3e4 d6f8 f2f3 c8b6 b7a7 e8b8 a5b3 b6a4 a7b7 b8a8 a6a7 f8e7 e2e3 d7c8 b3a5 c8d7 g2g3 a4b6 a5b3 d7c8 b7b8 a8b8 a7b8q c8b8 b3c5 e6e5 d4e5 f6e5 f3f4 b6c4 e3f3 e5f4 g3f4 g7g6 e4e5 c7c6 c5b3 b8c7 f3e4 c7b6 f4f5 g6f5 e4f5 c4e3
World Championship 20th,Moscow,1954.??.??,9.0,"Smyslov, Vassily","Botvinnik, Mikhail",1-0,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4 d1g4 g8e7 b4a5 d4c3 g4g7 h8g8 g7h7 b8d7 g1f3 d7f8 h7d3 d8a5 h2h4 c8d7 c1g5 a8c8 f3d4 e7f5 a1b1 c8c4 d4f5 e6f5 b1b7 c4e4 d3e4 d5e4 b7b8 d7c8 f1b5 a5b5 b8b5 f8e6 g5f6 g8g2 h4h5 c8a6 h5h6
World Championship 20th,Moscow,1954.??.??,10.0,"Botvinnik, Mikhail","Smyslov, Vassily",0-1,,,D22,d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 c8g4 f1c4 e7e6 d1b3 g4f3 g2f3 b7b5 c4e2 b8d7 a2a4 b5b4 f3f4 g8f6 e2f3 a8a7 f3c6 f8e7 b1d2 e8g8 d2c4 a6a5 c4e5 d7b8 c1d2 f6d5 e3e4 d5b6 d2e3 e7d6 c6b5 d8h4 a1c1 g8h8 b5e2 d6e5 d4e5 b8d7 e2b5 f8d8 e3d2 d7e5 b3e3 e5g4 e3g3 h4g3 f2g3 g4f2 e1f2 d8d2 f2e3 d2b2 c1b1 b2b1 h1b1 c7c5 b1d1 a7a8 d1d6 a8b8 e3d2 c5c4 d2c2 g7g6 d6c6 c4c3 c2b3 b8c8
